,SMILES
0,CN(C)c1c(O)c(B(c2c(O)c(N(C)C)c(C#N)c(N(C)C)c2O)c2c(O)c(N(C)C)c(C#N)c(N(C)C)c2O)c(O)c(N(C)C)c1C#N
1,CC(C)(C)c1c(F)c(C(C)(C)C)c(B(c2c(C(C)(C)C)c(F)c(C(C)(C)C)c(F)c2C(C)(C)C)c2c(C(C)(C)C)c(F)c(C(C)(C)C)c(F)c2C(C)(C)C)c(C(C)(C)C)c1F
2,CC(C)(C)c1c(B(c2c(C(C)(C)C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c2C(C)(C)C)c2c(C(C)(C)C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c2C(C)(C)C)c(C(C)(C)C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-]
3,Oc1c(C(F)(F)F)c(O)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(O)c(C(F)(F)F)c(O)c2C(F)(F)F)c2c(C(F)(F)F)c(O)c(C(F)(F)F)c(O)c2C(F)(F)F)c1C(F)(F)F
4,COc1cc(OC)c(B(c2c(OC)cc(OC)cc2OC)c2c(OC)cc(OC)cc2OC)c(OC)c1
5,Nc1c(O)c(N)c(B(c2c(N)c(O)c(N)c(O)c2N)c2c(N)c(O)c(N)c(O)c2N)c(N)c1O
6,N#Cc1c(F)c(C#N)c(B(c2c(C#N)c(F)c(C#N)c(F)c2C#N)c2c(C#N)c(F)c(C#N)c(F)c2C#N)c(C#N)c1F
7,CN(C)c1c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(N(C)C)c(C(F)(F)F)c(N(C)C)c2C(F)(F)F)c2c(C(F)(F)F)c(N(C)C)c(C(F)(F)F)c(N(C)C)c2C(F)(F)F)c(C(F)(F)F)c(N(C)C)c1C(F)(F)F
8,Cc1c(O)c(C)c(O)c(B(c2c(O)c(C)c(O)c(C)c2O)c2c(O)c(C)c(O)c(C)c2O)c1O
9,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c2[N+](=O)[O-])c1[N+](=O)[O-]
10,CC(C)(C)c1c(C#N)c(Cl)c(B(c2c(Cl)c(C#N)c(C(C)(C)C)c(C#N)c2Cl)c2c(Cl)c(C#N)c(C(C)(C)C)c(C#N)c2Cl)c(Cl)c1C#N
11,Cc1c(Cl)c(B(c2c(Cl)c(C)c(C(C)(C)C)c(C)c2Cl)c2c(Cl)c(C)c(C(C)(C)C)c(C)c2Cl)c(Cl)c(C)c1C(C)(C)C
12,COc1cc(Br)c(B(c2c(Br)cc(OC)cc2Br)c2c(Br)cc(OC)cc2Br)c(Br)c1
13,COc1c(Cl)c(B(c2c(Cl)c(OC)c([N+](=O)[O-])c(OC)c2Cl)c2c(Cl)c(OC)c([N+](=O)[O-])c(OC)c2Cl)c(Cl)c(OC)c1[N+](=O)[O-]
14,Nc1c(Br)c(N)c(B(c2c(N)c(Br)c(N)c(Br)c2N)c2c(N)c(Br)c(N)c(Br)c2N)c(N)c1Br
15,CN(C)c1c(N)c(N(C)C)c(B(c2c(N(C)C)c(N)c(N(C)C)c(N)c2N(C)C)c2c(N(C)C)c(N)c(N(C)C)c(N)c2N(C)C)c(N(C)C)c1N
16,COc1c(N(C)C)c(OC)c(N(C)C)c(B(c2c(N(C)C)c(OC)c(N(C)C)c(OC)c2N(C)C)c2c(N(C)C)c(OC)c(N(C)C)c(OC)c2N(C)C)c1N(C)C
17,CC(C)(C)c1c(B(c2c(C(C)(C)C)c(C(F)(F)F)c(Cl)c(C(F)(F)F)c2C(C)(C)C)c2c(C(C)(C)C)c(C(F)(F)F)c(Cl)c(C(F)(F)F)c2C(C)(C)C)c(C(C)(C)C)c(C(F)(F)F)c(Cl)c1C(F)(F)F
18,COc1c(Cl)c(OC)c(B(c2c(OC)c(Cl)c(OC)c(Cl)c2OC)c2c(OC)c(Cl)c(OC)c(Cl)c2OC)c(OC)c1Cl
19,CN(C)c1c(B(c2c(N(C)C)c([N+](=O)[O-])c(N(C)C)c([N+](=O)[O-])c2N(C)C)c2c(N(C)C)c([N+](=O)[O-])c(N(C)C)c([N+](=O)[O-])c2N(C)C)c(N(C)C)c([N+](=O)[O-])c(N(C)C)c1[N+](=O)[O-]
20,COc1c(C#N)c(Br)c(B(c2c(Br)c(C#N)c(OC)c(C#N)c2Br)c2c(Br)c(C#N)c(OC)c(C#N)c2Br)c(Br)c1C#N
21,Cc1c(C#N)c(C)c(C#N)c(B(c2c(C#N)c(C)c(C#N)c(C)c2C#N)c2c(C#N)c(C)c(C#N)c(C)c2C#N)c1C#N
22,Fc1c(Cl)c(Br)c(Cl)c(F)c1B(c1c(F)c(Cl)c(Br)c(Cl)c1F)c1c(F)c(Cl)c(Br)c(Cl)c1F
23,CC(C)(C)c1c(B(c2c(C(C)(C)C)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c2C(C)(C)C)c2c(C(C)(C)C)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c2C(C)(C)C)c(C(C)(C)C)c(C(F)(F)F)c(C(F)(F)F)c1C(F)(F)F
24,Brc1cc(B(c2cc(Br)c(Br)c(Br)c2)c2cc(Br)c(Br)c(Br)c2)cc(Br)c1Br
25,N#Cc1c(O)c(B(c2c(O)c(C#N)c([N+](=O)[O-])c(C#N)c2O)c2c(O)c(C#N)c([N+](=O)[O-])c(C#N)c2O)c(O)c(C#N)c1[N+](=O)[O-]
26,CN(C)c1c(O)c(N(C)C)c(B(c2c(N(C)C)c(O)c(N(C)C)c(O)c2N(C)C)c2c(N(C)C)c(O)c(N(C)C)c(O)c2N(C)C)c(N(C)C)c1O
27,O=[N+]([O-])c1c(C(F)(F)F)c(B(c2c(C(F)(F)F)c([N+](=O)[O-])c(C(F)(F)F)c([N+](=O)[O-])c2C(F)(F)F)c2c(C(F)(F)F)c([N+](=O)[O-])c(C(F)(F)F)c([N+](=O)[O-])c2C(F)(F)F)c(C(F)(F)F)c([N+](=O)[O-])c1C(F)(F)F
28,Oc1c(Cl)c(O)c(Cl)c(B(c2c(Cl)c(O)c(Cl)c(O)c2Cl)c2c(Cl)c(O)c(Cl)c(O)c2Cl)c1Cl
29,CC(C)(C)c1c(O)c(B(c2c(O)c(C(C)(C)C)c(O)c(C(C)(C)C)c2O)c2c(O)c(C(C)(C)C)c(O)c(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1O
30,CN(C)c1c(Br)c(B(c2c(Br)c(N(C)C)c(Br)c(N(C)C)c2Br)c2c(Br)c(N(C)C)c(Br)c(N(C)C)c2Br)c(Br)c(N(C)C)c1Br
31,COc1c(F)c(OC)c(F)c(B(c2c(F)c(OC)c(F)c(OC)c2F)c2c(F)c(OC)c(F)c(OC)c2F)c1F
32,FC(F)(F)c1c(Br)c(B(c2c(Br)c(C(F)(F)F)c(Br)c(C(F)(F)F)c2Br)c2c(Br)c(C(F)(F)F)c(Br)c(C(F)(F)F)c2Br)c(Br)c(C(F)(F)F)c1Br
33,CC(C)(C)c1cc(C(C)(C)C)c(B(c2c(C(C)(C)C)cc(C(C)(C)C)cc2C(C)(C)C)c2c(C(C)(C)C)cc(C(C)(C)C)cc2C(C)(C)C)c(C(C)(C)C)c1
34,COc1c(B(c2c(OC)c(C(C)(C)C)c(OC)c(C(C)(C)C)c2OC)c2c(OC)c(C(C)(C)C)c(OC)c(C(C)(C)C)c2OC)c(OC)c(C(C)(C)C)c(OC)c1C(C)(C)C
35,O=[N+]([O-])c1cc(B(c2cc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2)c2cc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2)cc([N+](=O)[O-])c1[N+](=O)[O-]
36,CN(C)c1c(B(c2c(N(C)C)c(C(C)(C)C)c(N(C)C)c(C(C)(C)C)c2N(C)C)c2c(N(C)C)c(C(C)(C)C)c(N(C)C)c(C(C)(C)C)c2N(C)C)c(N(C)C)c(C(C)(C)C)c(N(C)C)c1C(C)(C)C
37,Nc1c(C(F)(F)F)c(N)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(N)c(C(F)(F)F)c(N)c2C(F)(F)F)c2c(C(F)(F)F)c(N)c(C(F)(F)F)c(N)c2C(F)(F)F)c1C(F)(F)F
38,O=[N+]([O-])c1c(O)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(O)c([N+](=O)[O-])c(O)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(O)c([N+](=O)[O-])c(O)c2[N+](=O)[O-])c([N+](=O)[O-])c1O
