SMILES,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,charge,converged,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,multiplicity,number_of_atoms,zero_point_correction,APT_charge,ES_root_Mulliken_charge,ES_root_NPA_Rydberg,ES_root_NPA_charge,ES_root_NPA_core,ES_root_NPA_total,ES_root_NPA_valence,Mulliken_charge,NMR_anisotropy,NMR_shift,NPA_Rydberg,NPA_charge,NPA_core,NPA_total,NPA_valence,VBur,X,Y,Z,FIA
Brc1cc(Br)c2c(c1)N1B(O2)Oc2c(Br)cc(Br)cc21,-10976.561763,1.3152,16875.2393,1933.068,-10976.60479,0.158515,-10976.578326,-10976.626933,0.093345,-10976.560818,0.159459,0.0,1.0,0.7214,0.150615,16306.9026,0.1336049999999999,-0.28422,-0.01701,524.5951,2165.036,1.0,24.0,0.141952,1.278729,0.678221,0.02974,1.26548,1.99883,3.73452,1.70595,0.675057,12.6257,86.9179,0.02948,1.26232,1.99883,3.73768,1.70937,0.5872404027690371,1.8e-05,-1.703391,0.000107,416.679895658046
Brc1ccc2c(c1)N1B(O2)Oc2ccc(Br)cc21,-5834.187651,1.4179,9643.4939,1926.445,-5834.25722088,0.175524,-5834.201108,-5834.243872,0.119303,-5834.186706,0.176468,0.0,1.0,1.2308,0.1366899999999999,9650.7064,0.13388,-0.27057,-0.00281,366.8029,2511.258,1.0,24.0,0.162066,1.235903,0.699031,0.03065,1.30253,1.99885,3.69747,1.66797,0.666826,10.6775,86.4839,0.02961,1.25445,1.99884,3.74555,1.7171,0.5863750786658276,-2e-06,2.723398,0.000385,379.5528548564762
Brc1ccc2c(c1)OB1Oc3cc(Br)ccc3N12,-5834.187212,1.2462,12385.0772,1721.5,-5834.24616374,0.175471,-5834.200712,-5834.243604,0.119079,-5834.186268,0.176416,0.0,1.0,1.3476,0.13283,12168.5336,0.12951,-0.26234,-0.00332,366.8029,2383.615,1.0,24.0,0.161971,1.234292,0.699977,0.03063,1.3024,1.99884,3.6976,1.66813,0.666073,10.2063,86.3632,0.02961,1.25369,1.99883,3.74631,1.71787,0.5865324103209566,-1e-06,1.641879,-0.000391,382.61626223661005
Brc1ccc2c(c1Br)OB1Oc3c(ccc(Br)c3Br)N12,-10976.560763,3.2055,18393.0144,1925.197,-10976.5995809,0.158598,-10976.577241,-10976.625492,0.093869,-10976.559818,0.159543,0.0,1.0,3.8126,0.143,17725.683,0.12852,-0.27152,-0.01448,524.5951,2755.674,1.0,24.0,0.14212,1.267459,0.706211,0.03043,1.30931,1.99883,3.69069,1.66143,0.672143,11.9436,86.8278,0.02943,1.26033,1.99882,3.73967,1.71143,0.5868470736312146,1.6e-05,0.920742,3.1e-05,410.1484388075769
Brc1cccc2c1OB1Oc3c(Br)cccc3N12,-5834.184607,3.9175,9253.6869,1947.879,-5834.25462484,0.176002,-5834.198037,-5834.240713,0.119896,-5834.183662,0.176946,0.0,1.0,4.1688,0.135275,9716.7157,0.135275,-0.27055,0.0,366.8029,2245.013,1.0,24.0,0.162572,1.23536,0.676464,0.02985,1.26557,1.99883,3.73443,1.70576,0.668943,10.9732,86.8399,0.02952,1.25745,1.99882,3.74255,1.71421,0.5868470736312146,2.7e-05,-0.516194,0.000256,378.3202087655664
CC(C)(C)c1c(C#N)c(C#N)cc2c1OB1Oc3c(cc(C#N)c(C#N)c3C(C)(C)C)N12,-1374.757177,8.939,16606.7234,3857.312,-1375.17869482,0.433905,-1374.786031,-1374.844338,0.346744,-1374.756233,0.434849,0.0,1.0,8.3424,0.18581,16682.077,0.1197999999999999,-0.30561,-0.06601,421.2643,3170.842,1.0,52.0,0.405052,1.308589,0.706122,0.02997,1.30915,1.99884,3.69085,1.66205,0.674196,11.9037,86.8464,0.02906,1.26696,1.99881,3.73304,1.70516,0.606198867212083,0.032584,-1.177185,-4.9e-05,477.6998809436336
CC(C)(C)c1c(C(F)(F)F)cc2c(c1N)OB1Oc3c(cc(C(F)(F)F)c(C(C)(C)C)c3N)N12,-1790.361992,5.6486,20825.5596,3416.098,-1790.60045052,0.488249,-1790.392833,-1790.453066,0.397175,-1790.361048,0.489193,0.0,1.0,4.6297,0.12647,19934.9337,0.1309,-0.25737,0.00443,487.2509,3891.381,1.0,58.0,0.457408,1.247729,0.667434,0.02966,1.26084,1.99885,3.73916,1.71065,0.666982,10.6638,86.689,0.02944,1.25889,1.99884,3.74111,1.71282,0.5907803650094399,1.1e-05,-2.228336,-0.135278,384.6726327575743
CC(C)(C)c1c(F)c(Br)cc2c1OB1Oc3c(cc(Br)c(F)c3C(C)(C)C)N12,-6346.716483,2.4959,19258.8325,2770.677,-6346.96855523,0.400826,-6346.74268,-6346.799194,0.318115,-6346.715539,0.40177,0.0,1.0,2.4784,0.13182,18800.4483,0.13322,-0.26504,0.0014,514.9983,3731.178,1.0,48.0,0.374629,1.304456,0.677288,0.0298,1.2771,1.99882,3.7229,1.69428,0.660492,10.5024,86.835,0.02929,1.25618,1.9988,3.74382,1.71572,0.6045468848332285,0.030278,-1.728717,-0.001683,399.2792880609632
CC(C)(C)c1c(F)ccc2c1OB1Oc3c(ccc(F)c3C(C)(C)C)N12,-1204.34232,2.2158,11786.5115,2919.038,-1204.58461725,0.417842,-1204.365412,-1204.416161,0.344001,-1204.341375,0.418787,0.0,1.0,1.104,0.11815,11738.9705,0.13468,-0.25283,0.01653,357.2061,3262.454,1.0,48.0,0.39475,1.261756,0.672914,0.02982,1.27212,1.99882,3.72788,1.69924,0.654983,9.1608,86.6108,0.02933,1.2515,1.9988,3.7485,1.72037,0.6042322215229704,0.041055,-0.627208,-0.000377,368.04536624532193
CC(C)(C)c1c(N)cc2c(c1[N+](=O)[O-])OB1Oc3c(cc(N)c(C(C)(C)C)c3[N+](=O)[O-])N12,-1525.332085,10.4841,18664.6983,3127.713,-1525.53504036,0.480795,-1525.361685,-1525.420836,0.392044,-1525.331141,0.481739,0.0,1.0,9.3203,0.14524,18279.4714,0.11677,-0.26201,-0.02847,441.2495,3215.406,1.0,56.0,0.451194,1.313616,0.678832,0.02951,1.2673,1.99884,3.7327,1.70435,0.678775,15.5115,86.7369,0.02938,1.26826,1.99884,3.73174,1.70352,0.5890497168030208,-1.4e-05,-1.339668,-0.000278,388.5450617680326
CC(C)(C)c1c(O)cc2c(c1O)OB1Oc3c(cc(O)c(C(C)(C)C)c3O)N12,-1306.6489,2.0932,15798.0129,3144.244,-1306.91866575,0.454683,-1306.675199,-1306.728796,0.374787,-1306.647956,0.455627,0.0,1.0,0.4842,0.116175,15257.6951,0.134105,-0.25028,0.01793,385.2227,3314.203,1.0,52.0,0.428384,1.235475,0.682013,0.02982,1.27484,1.99887,3.72516,1.69647,0.674098,13.7172,87.5237,0.02924,1.26309,1.99887,3.73691,1.7088,0.5897577092511013,-0.018462,1.635284,-0.00135,374.3289233651012
CC(C)(C)c1c([N+](=O)[O-])cc2c(c1N)OB1Oc3c(cc([N+](=O)[O-])c(C(C)(C)C)c3N)N12,-1525.35102,7.7367,18731.8478,3120.394,-1525.52532376,0.480857,-1525.380374,-1525.438641,0.393236,-1525.350076,0.481801,0.0,1.0,9.1414,0.14929,17498.5531,0.12024,-0.26953,-0.02905,441.2495,3744.472,1.0,56.0,0.451503,1.257507,0.674329,0.02932,1.26366,1.99885,3.73634,1.70817,0.672023,11.515,86.8624,0.02924,1.26149,1.99885,3.73851,1.71042,0.5907803650094399,0.0,-2.010015,-0.133161,407.1945147877559
CC(C)(C)c1c2c(cc(Cl)c1C(F)(F)F)N1B(O2)Oc2c1cc(Cl)c(C(F)(F)F)c2C(C)(C)C,-2598.882152,2.9151,22047.3325,3203.035,-2599.07535273,0.432893,-2598.913177,-2598.974725,0.340321,-2598.881208,0.433837,0.0,1.0,4.3786,0.1590349999999999,20888.2905,0.126355,-0.28539,-0.03268,526.1119,3074.914,1.0,54.0,0.401868,1.300153,0.705897,0.03058,1.31255,1.99883,3.68745,1.65804,0.672759,12.2902,87.4039,0.02947,1.26402,1.99883,3.73598,1.70768,0.6087161736941472,-4.1e-05,1.382306,-0.008455,427.0018133968115
