SMILES,FIA,group,HIA,reorg_nrj,GEI
CC(C)(C)c1cc(Cl)c2c(c1)-c1cc(Cl)cc3c1B(O2)Oc1c(Cl)cc(C(C)(C)C)cc1-3,341.0144344000146,OCO,465.10790695715696,176.7054640000424,2.685840671817907
CC(C)(C)c1cc(F)c2c(c1)-c1cc(N)cc3c1B(O2)Oc1c(F)cc(C(C)(C)C)cc1-3,298.0308964001015,OCO,,,2.143049318630692
CC(C)(C)c1cc2c(c([N+](=O)[O-])c1)OB1Oc3c(cc(C(C)(C)C)cc3[N+](=O)[O-])-c3cc(C#N)cc-2c31,397.5230164006352,OCO,525.1691029574722,178.98558599954413,3.612321662162508
CC(C)(C)c1cc2c3c(c1)-c1cc(C#N)cc(C(C)(C)C)c1OB3Oc1c-2cc(C#N)cc1C(C)(C)C,399.689076400362,OCO,523.038090956863,161.1628459995245,2.821834056077469
CC(C)(C)c1cc2c3c(c1)-c1cc(C(C)(C)C)cc(C(C)(C)C)c1OB3Oc1c-2cc(C(C)(C)C)cc1C(C)(C)C,314.68992840033025,OCO,434.1417509568855,175.4139140002735,1.942857944435484
CC(C)(C)c1cc2c3c(c1)-c1cc(C(F)(F)F)cc(C#N)c1OB3Oc1c(C#N)cc(C(F)(F)F)cc1-2,405.5401684008539,OCO,,,3.654826409052619
CC(C)(C)c1cc2c3c(c1)-c1cc(C(F)(F)F)cc(F)c1OB3Oc1c(F)cc(C(F)(F)F)cc1-2,361.4533984009177,OCO,,,2.89494429202466
CC(C)(C)c1cc2c3c(c1)-c1cc(Cl)cc(C(F)(F)F)c1OB3Oc1c-2cc(Cl)cc1C(F)(F)F,368.2693503992632,OCO,,,3.051100505962826
CC(C)(C)c1cc2c3c(c1)-c1cc(N)cc(F)c1OB3Oc1c(F)cc(N)cc1-2,292.54637839924544,OCO,,,2.0143054630020423
CC(C)(C)c1cc2c3c(c1)-c1cc(O)cc(Br)c1OB3Oc1c(Br)cc(O)cc1-2,323.3096823953092,OCO,445.35854095593095,176.2553000005937,2.4766653232892963
CN(C)c1cc(F)cc2c1OB1Oc3c(cc(F)cc3N(C)C)-c3cc(C(C)(C)C)cc-2c31,318.7738524004817,OCO,,,2.0879918821126093
CN(C)c1cc(N)cc2c1OB1Oc3c(cc(N)cc3N(C)C)-c3cc(Br)cc-2c31,304.859692402184,OCO,422.2528869584203,188.2312119995732,1.8898683261912368
CN(C)c1cc(O)c2c(c1)-c1cccc3c1B(O2)Oc1c(O)cc(N(C)C)cc1-3,343.8058463996276,OCO,465.2839009570889,158.79546799997115,1.8213572966223444
CN(C)c1cc([N+](=O)[O-])cc2c1OB1Oc3c(cc([N+](=O)[O-])cc3N(C)C)-c3cccc-2c31,382.3855043994263,OCO,505.316672956571,178.94588400026805,3.095026495754099
CN(C)c1cc2c(c(C(F)(F)F)c1)OB1Oc3c(cc(N(C)C)cc3C(F)(F)F)-c3cc(C(F)(F)F)cc-2c31,340.8021184010431,OCO,,,2.5030460336004943
CN(C)c1cc2c3c(c1)-c1cc(C(C)(C)C)cc(C(F)(F)F)c1OB3Oc1c-2cc(C(C)(C)C)cc1C(F)(F)F,321.5692424001172,OCO,,,2.2910635556290573
CN(C)c1cc2c3c(c1)-c1cc(C(F)(F)F)ccc1OB3Oc1ccc(C(F)(F)F)cc1-2,327.97670840099454,OCO,,,2.397181084896029
CN(C)c1cc2c3c(c1)-c1cc(O)cc(C(C)(C)C)c1OB3Oc1c-2cc(O)cc1C(C)(C)C,300.4790303995833,OCO,418.1763729569502,182.5065319996611,1.8817324973338103
CN(C)c1cc2c3c(c1)-c1cc([N+](=O)[O-])cc(O)c1OB3Oc1c(O)cc([N+](=O)[O-])cc1-2,393.77449239976704,OCO,519.1217369562946,193.6162800002421,3.154340682779059
COc1cc(C#N)c2c(c1)-c1cc(N(C)C)cc3c1B(O2)Oc1c(C#N)cc(OC)cc1-3,338.88035439979285,OCO,455.2395809562877,184.94340800025384,2.727842784275418
COc1cc(C(F)(F)F)cc2c1OB1Oc3c(OC)cc(C(F)(F)F)cc3-c3cc(O)cc-2c31,351.8742704000324,OCO,,,2.7857746536390184
COc1cc(C)cc2c1OB1Oc3c(OC)cc(C)cc3-c3cc(F)cc-2c31,316.344724399969,OCO,,,2.2975503064715426
COc1cc(Cl)cc2c1OB1Oc3c(OC)cc(Cl)cc3-c3cc(N)cc-2c31,331.31609639991075,OCO,442.3955029565841,180.3126259999772,2.452332528342137
COc1cc2c(c(C(F)(F)F)c1)OB1Oc3c(cc(OC)cc3C(F)(F)F)-c3cc(N(C)C)cc-2c31,304.3148104008287,OCO,,,2.304704933919171
COc1cc2c(c(N(C)C)c1)OB1Oc3c(cc(OC)cc3N(C)C)-c3cc(Br)cc-2c31,297.9391943998635,OCO,432.4590829592198,190.61504799947213,2.083489609678366
COc1cc2c3c(c1)-c1cc(Br)cc(OC)c1OB3Oc1c(OC)cc(Br)cc1-2,324.5143663994968,OCO,441.643738957122,177.93323600035365,2.410036414952605
COc1cc2c3c(c1)-c1cc(C(C)(C)C)cc(C#N)c1OB3Oc1c(C#N)cc(C(C)(C)C)cc1-2,344.1604603994638,OCO,476.0477449567989,194.1391400000157,2.9124805823770603
COc1cc2c3c(c1)-c1cc(Cl)cc(C)c1OB3Oc1c(C)cc(Cl)cc1-2,324.69483240135014,OCO,445.582114957273,176.70676399989134,2.434500172930351
COc1cc2c3c(c1)-c1cc(N)cc(O)c1OB3Oc1c(O)cc(N)cc1-2,308.67693439964205,OCO,421.9804329569452,180.2749520005364,1.9190125452175903
COc1cc2c3c(c1)-c1cc(O)cc(C(F)(F)F)c1OB3Oc1c-2cc(O)cc1C(F)(F)F,328.29177640005946,OCO,,,2.6904445130341017
COc1cc2c3c(c1)-c1cc([N+](=O)[O-])cc(N)c1OB3Oc1c(N)cc([N+](=O)[O-])cc1-2,367.0430084001273,OCO,495.52879095776007,199.9800140001753,3.0386528096683136
COc1cc2c3c(c1)-c1cc([N+](=O)[O-])cc(OC)c1OB3Oc1c(OC)cc([N+](=O)[O-])cc1-2,384.85243640095,OCO,505.5387389576063,199.3389320003189,3.368169240708656
COc1ccc2c(c1)-c1cc(O)cc3c1B(O2)Oc1ccc(OC)cc1-3,284.8343104002997,OCO,399.6575349573977,176.39481599953797,2.0839692244374786
COc1cccc2c1OB1Oc3c(OC)cccc3-c3cc(Cl)cc-2c31,317.9338443996385,OCO,451.6460949573666,170.61129799994887,2.460383166249776
Cc1cc(Br)c2c(c1)-c1cc(F)cc3c1B(O2)Oc1c(Br)cc(C)cc1-3,330.83600639924407,OCO,,,2.650902143948187
Cc1cc(C#N)c2c(c1)-c1cc(C(C)(C)C)cc3c1B(O2)Oc1c(C#N)cc(C)cc1-3,354.2101363996044,OCO,479.8785849567503,178.12815799979944,2.892869370892394
Cc1cc(C#N)c2c(c1)-c1cccc3c1B(O2)Oc1c(C#N)cc(C)cc1-3,356.4507643999532,OCO,482.0044229575433,177.8596559999187,2.9706705029238303
Cc1cc(C(C)(C)C)cc2c1OB1Oc3c(C)cc(C(C)(C)C)cc3-c3cc(N)cc-2c31,283.23234639968723,OCO,402.4988929573447,178.5347200004253,1.849743730434683
Cc1cc(Cl)cc2c1OB1Oc3c(C)cc(Cl)cc3-c3cc(N(C)C)cc-2c31,313.6006584009156,OCO,433.7701069572941,178.99442600005386,2.181291399323596
Cc1cc(Cl)cc2c1OB1Oc3c(C)cc(Cl)cc3-c3cc(N)cc-2c31,316.45348240062594,OCO,436.5529649564997,178.25418000015816,2.3307848166681837
Cc1cc(F)c2c(c1)-c1cc(C(C)(C)C)cc3c1B(O2)Oc1c(F)cc(C)cc1-3,307.7630604011938,OCO,,,2.2164240836807254
Cc1cc(O)cc2c1OB1Oc3c(C)cc(O)cc3-c3cc(Br)cc-2c31,312.6966644003988,OCO,432.9666549582034,173.76647600076467,2.331304156120636
Cc1cc2c(c(C(C)(C)C)c1)OB1Oc3c(cc(C)cc3C(C)(C)C)-c3cc(F)cc-2c31,334.0212143994868,OCO,,,2.196349095231483
