,SMILES,FIA,HIA,reorg_nrj
0,CCOB(OCC)OCC,248.68957054801285,371.26771033811383,208.9490287743462
1,COB(OC)OC,234.62999597284943,359.4986772732809,188.52773856524556
2,ClCCOB(OCCCl)OCCCl,318.1243417384103,409.347818210721,214.22503706406386
3,ClCCCOB(OCCCCl)OCCCCl,312.9835335826501,431.18552114535123,221.68266536219735
4,ClCCCCOB(OCCCCCl)OCCCCCl,283.23215296678245,386.43959382828325,237.2390953620218
5,ClC(Cl)COB(OCC(Cl)Cl)OCC(Cl)Cl,366.712793616578,,223.02122412871196
6,ClC(Cl)(Cl)COB(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl,376.5303002614528,508.6526636313647,247.5930967142046
7,ClCC(CCl)OB(OC(CCl)CCl)OC(CCl)CCl,352.707194076851,466.7146037556231,217.16444206739584
8,BrCCOB(OCCBr)OCCBr,279.96440291032195,403.5592729076743,248.732353759736
9,ICCOB(OCCI)OCCI,293.10961290542036,421.32442332198843,
10,FC(F)(F)COB(OCC(F)(F)F)OCC(F)(F)F,322.691241806373,445.6623717173934,
11,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,443.8188510639593,639.3358333762735,
12,C[Si](C)(OB(O[Si](C)(C)c1ccc(O)cc1)O[Si](C)(C)c1ccc(O)cc1)c1ccc(O)cc1,273.5361019624397,,243.30591743880763
13,c1ccc(B(c2ccccc2)c2ccccc2)cc1,316.68022998655215,486.90617845067754,181.31100516132108
14,Fc1cc(F)c(F)c(B(c2c(F)c(F)cc(F)c2F)c2c(F)c(F)cc(F)c2F)c1F,422.9709091950208,619.1340008517727,
15,Fc1cc(B(c2cc(F)c(F)c(F)c2F)c2cc(F)c(F)c(F)c2F)c(F)c(F)c1F,440.65696117281914,620.9138011829928,
16,Fc1cccc(F)c1B(c1c(F)cccc1F)c1c(F)cccc1F,346.5985215269029,539.5415422082879,
17,C[Si](C)(CCC1=CCCCC1)OB(O[Si](C)(C)CCC1=CCCCC1)O[Si](C)(C)CCC1=CCCCC1,240.96753337606788,366.8375043133274,270.58142511068536
18,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(F)c1F,424.0760084837675,631.7192835509777,
19,Fc1c(F)c(F)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(F)c1F,434.46222472190857,644.3430823348463,
20,c1ccc(OB(Oc2ccccc2)Oc2ccccc2)cc1,349.0262060398236,480.6245536999777,231.63511221304157
21,Fc1c(F)c(F)c(OB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,425.67485934123397,595.2230979399756,
22,Fc1c(F)c(F)c(OB(Oc2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,424.2625502720475,563.6871910914779,
23,Fc1c(F)c(F)c(OB(Oc2c(F)c(F)c(F)c(F)c2F)Oc2c(F)c(F)c(F)c(F)c2F)c(F)c1F,430.73154647182673,564.1431617131457,
24,CC[Si](CC)(CC)OB(O[Si](CC)(CC)CC)O[Si](CC)(CC)CC,281.58373266551644,384.0706049958244,235.01936621782008
25,FB(F)OOOSC(F)(F)F,368.4541828818619,482.4308742075227,
26,B,252.29849201766774,453.88307618115505,114.24847605903592
27,CCB(CC)CC,263.54422272276133,424.4492464007344,120.60878416248137
28,OB(O)c1ccccc1,208.7266770992428,339.5310104866512,216.7844849297471
29,c1ccc(B2Oc3ccccc3O2)cc1,298.4527972424403,427.9891689380165,188.19988447861044
30,Fc1ccccc1B1Oc2ccccc2O1,310.7485292768106,441.24730957672,
31,Fc1cccc(B2Oc3ccccc3O2)c1,311.6592916669324,442.9467302185949,
32,Fc1ccc(B2Oc3ccccc3O2)cc1,307.5543693630025,437.0319298543036,
33,Fc1ccc(B2Oc3ccccc3O2)c(F)c1,317.24918638169765,447.72212125733495,
