SMILES,FIA,HIA
Brc1cc(Br)c2c(c1)N1B(O2)Oc2c(Br)cc(Br)cc21,421.8840544037521,421.8840544037521
CC(C)(C)c1c(C(F)(F)F)cc2c(c1N)OB1Oc3c(cc(C(F)(F)F)c(C(C)(C)C)c3N)N12,390.18766240030527,390.18766240030527
CC(C)(C)c1c(F)c(Br)cc2c1OB1Oc3c(cc(Br)c(F)c3C(C)(C)C)N12,404.65245039761066,404.65245039761066
CC(C)(C)c1c(F)ccc2c1OB1Oc3c(ccc(F)c3C(C)(C)C)N12,373.72188840061426,373.72188840061426
CC(C)(C)c1c(N)cc2c(c1[N+](=O)[O-])OB1Oc3c(cc(N)c(C(C)(C)C)c3[N+](=O)[O-])N12,394.02248040027916,394.02248040027916
CC(C)(C)c1c([N+](=O)[O-])cc2c(c1N)OB1Oc3c(cc([N+](=O)[O-])c(C(C)(C)C)c3N)N12,412.49080040026456,412.49080040026456
CC(C)(C)c1cc2c(c(Br)c1Cl)OB1Oc3c(cc(C(C)(C)C)c(Cl)c3Br)N12,410.3832924030721,410.3832924030721
CC(C)(C)c1cc2c(c(C(C)(C)C)c1O)OB1Oc3c(cc(C(C)(C)C)c(O)c3C(C)(C)C)N12,370.91014439985156,370.91014439985156
CC(C)(C)c1cc2c(c(C(F)(F)F)c1N)OB1Oc3c(cc(C(C)(C)C)c(N)c3C(F)(F)F)N12,379.9380983998999,379.9380983998999
CC(C)(C)c1cc2c(c(O)c1[N+](=O)[O-])OB1Oc3c(cc(C(C)(C)C)c([N+](=O)[O-])c3O)N12,438.8810084005818,438.8810084005818
CC(C)(C)c1cc2c(c([N+](=O)[O-])c1N)OB1Oc3c(cc(C(C)(C)C)c(N)c3[N+](=O)[O-])N12,410.92856440041214,410.92856440041214
CC(C)(C)c1cc2c(cc1F)N1B(O2)Oc2cc(C(C)(C)C)c(F)cc21,362.31220439914614,362.31220439914614
CN(C)c1c(Br)c(N)cc2c1OB1Oc3c(cc(N)c(Br)c3N(C)C)N12,363.65528639778495,363.65528639778495
CN(C)c1c(C#N)cc2c(c1[N+](=O)[O-])OB1Oc3c(cc(C#N)c(N(C)C)c3[N+](=O)[O-])N12,481.9510744009167,481.9510744009167
CN(C)c1c(N)ccc2c1OB1Oc3c(ccc(N)c3N(C)C)N12,341.49062439985573,341.49062439985573
CN(C)c1c(O)c(C#N)cc2c1OB1Oc3c(cc(C#N)c(O)c3N(C)C)N12,421.4529224000871,421.4529224000871
CN(C)c1c(O)cc2c(c1C(C)(C)C)OB1Oc3c(cc(O)c(N(C)C)c3C(C)(C)C)N12,352.67657839972526,352.67657839972526
CN(C)c1c(O)ccc2c1OB1Oc3c(ccc(O)c3N(C)C)N12,338.1827743994072,338.1827743994072
CN(C)c1c2c(cc(C(C)(C)C)c1[N+](=O)[O-])N1B(O2)Oc2c1cc(C(C)(C)C)c([N+](=O)[O-])c2N(C)C,422.7415344007313,422.7415344007313
CN(C)c1c2c(cc([N+](=O)[O-])c1C(C)(C)C)N1B(O2)Oc2c1cc([N+](=O)[O-])c(C(C)(C)C)c2N(C)C,435.8791264006868,435.8791264006868
CN(C)c1c2c(cc([N+](=O)[O-])c1C(F)(F)F)N1B(O2)Oc2c1cc([N+](=O)[O-])c(C(F)(F)F)c2N(C)C,465.14298440050334,465.14298440050334
CN(C)c1cc(C(F)(F)F)cc2c1OB1Oc3c(N(C)C)cc(C(F)(F)F)cc3N12,390.61996440123767,390.61996440123767
CN(C)c1cc(Cl)c2c(c1)N1B(O2)Oc2c(Cl)cc(N(C)C)cc21,371.31350840069354,371.31350840069354
CN(C)c1cc(O)c2c(c1)N1B(O2)Oc2c(O)cc(N(C)C)cc21,319.45255640055984,319.45255640055984
CN(C)c1cc2c(c(Br)c1C#N)OB1Oc3c(cc(N(C)C)c(C#N)c3Br)N12,449.8549064025283,449.8549064025283
CN(C)c1cc2c(c([N+](=O)[O-])c1F)OB1Oc3c(cc(N(C)C)c(F)c3[N+](=O)[O-])N12,440.5426163999364,440.5426163999364
CN(C)c1cc2c(cc1Br)OB1Oc3cc(Br)c(N(C)C)cc3N12,382.63741839677095,382.63741839677095
CN(C)c1ccc2c(c1C#N)OB1Oc3c(ccc(N(C)C)c3C#N)N12,412.60964639950544,412.60964639950544
COc1c(Br)c(F)cc2c1OB1Oc3c(cc(F)c(Br)c3OC)N12,405.9343283958733,405.9343283958733
COc1c(Br)cc2c(c1N)OB1Oc3c(cc(Br)c(OC)c3N)N12,381.9881463982165,381.9881463982165
COc1c(Br)cc2c(c1OC)OB1Oc3c(cc(Br)c(OC)c3OC)N12,394.6448943987489,394.6448943987489
COc1c(C#N)c(Cl)cc2c1OB1Oc3c(cc(Cl)c(C#N)c3OC)N12,458.0681244004518,458.0681244004518
COc1c(C(C)(C)C)ccc2c1OB1Oc3c(ccc(C(C)(C)C)c3OC)N12,375.5670563997701,375.5670563997701
COc1c(F)c(C(C)(C)C)cc2c1OB1Oc3c(cc(C(C)(C)C)c(F)c3OC)N12,394.0577103998512,394.0577103998512
COc1c(F)cc2c(c1N)OB1Oc3c(cc(F)c(OC)c3N)N12,354.70039239991456,354.70039239991456
COc1cc(O)c2c(c1)N1B(O2)Oc2c(O)cc(OC)cc21,351.10303239990026,351.10303239990026
COc1cc2c(c(Br)c1C(F)(F)F)OB1Oc3c(cc(OC)c(C(F)(F)F)c3Br)N12,425.7350704036653,425.7350704036653
COc1cc2c(c(Br)c1C)OB1Oc3c(cc(OC)c(C)c3Br)N12,383.01350839808583,383.01350839808583
COc1cc2c(c(C#N)c1Cl)OB1Oc3c(cc(OC)c(Cl)c3C#N)N12,448.6551363999024,448.6551363999024
COc1cc2c(c(C(C)(C)C)c1F)OB1Oc3c(cc(OC)c(F)c3C(C)(C)C)N12,366.4021343998611,366.4021343998611
COc1cc2c(c(C(C)(C)C)c1O)OB1Oc3c(cc(OC)c(O)c3C(C)(C)C)N12,359.63696040026844,359.63696040026844
COc1cc2c(c(C(C)(C)C)c1[N+](=O)[O-])OB1Oc3c(cc(OC)c([N+](=O)[O-])c3C(C)(C)C)N12,421.58770640101284,421.58770640101284
COc1cc2c(c(F)c1F)OB1Oc3c(cc(OC)c(F)c3F)N12,393.78619239944965,393.78619239944965
COc1cc2c(c(N)c1C)OB1Oc3c(cc(OC)c(C)c3N)N12,341.07210240047425,341.07210240047425
Cc1c(Br)cc2c(c1C(C)(C)C)OB1Oc3c(cc(Br)c(C)c3C(C)(C)C)N12,377.5449543967843,377.5449543967843
Cc1c(Cl)c(N)cc2c1OB1Oc3c(cc(N)c(Cl)c3C)N12,354.36408240161836,354.36408240161836
Cc1c(N(C)C)cc2c(c1O)OB1Oc3c(cc(N(C)C)c(C)c3O)N12,361.4533983999863,361.4533983999863
Cc1c(O)cc2c(c1O)OB1Oc3c(cc(O)c(C)c3O)N12,358.5510703995824,358.5510703995824
Cc1c2c(cc(F)c1N(C)C)N1B(O2)Oc2c1cc(F)c(N(C)C)c2C,368.6466624001041,368.6466624001041
Cc1c2c(cc(N)c1C(C)(C)C)N1B(O2)Oc2c1cc(N)c(C(C)(C)C)c2C,338.673134399578,338.673134399578
Cc1cc2c(c(Cl)c1N)OB1Oc3c(cc(C)c(N)c3Cl)N12,363.480098400265,363.480098400265
Cc1cc2c(c(F)c1O)OB1Oc3c(cc(C)c(O)c3F)N12,369.3222203999758,369.3222203999758
Cc1cc2c(c(N)c1Cl)OB1Oc3c(cc(C)c(Cl)c3N)N12,364.1834763996303,364.1834763996303
Cc1cc2c(c(O)c1Br)OB1Oc3c(cc(C)c(Br)c3O)N12,384.6435263976455,384.6435263976455
Cc1ccc2c(c1C(F)(F)F)OB1Oc3c(ccc(C)c3C(F)(F)F)N12,391.24804639909416,391.24804639909416
Clc1cc2c(cc1Br)OB1Oc3cc(Br)c(Cl)cc3N12,416.446102399379,416.446102399379
