SMILES,FIA,HIA,reorg_nrj
CC(C)(C)c1c(C#N)c(Cl)cc2c1NB1Nc3c(cc(Cl)c(C#N)c3C(C)(C)C)N12,349.25539440009743,475.0890469569713,177.35728400102744
CC(C)(C)c1cc2c(c(C(C)(C)C)c1)NB1Nc3c(cc(C(C)(C)C)cc3C(C)(C)C)N12,252.86460640002042,384.2735949573107,175.2749700000095
CN(C)c1c(Br)cc2c(c1C#N)NB1Nc3c(cc(Br)c(N(C)C)c3C#N)N12,364.2139224000275,494.08488095737994,176.43397200045
CN(C)c1c(N)cc2c(c1N)NB1Nc3c(cc(N)c(N(C)C)c3N)N12,234.9679744001478,360.5414969571866,215.19510999951308
CN(C)c1c(O)cc2c(c1N(C)C)NB1Nc3c(cc(O)c(N(C)C)c3N(C)C)N12,238.84889040049165,366.02042495738715,195.69635800007745
COc1c(Br)c(C(C)(C)C)cc2c1NB1Nc3c(cc(C(C)(C)C)c(Br)c3OC)N12,296.076658397913,428.2411549575627,169.7033000005831
COc1c(C#N)c([N+](=O)[O-])cc2c1NB1Nc3c(cc([N+](=O)[O-])c(C#N)c3OC)N12,413.7079903995618,542.5482049570419,176.70845399975406
COc1c(Cl)c(O)cc2c1NB1Nc3c(cc(O)c(Cl)c3OC)N12,278.44603239931166,417.6464929562062,199.01154000012866
COc1c(O)cc2c(c1Cl)NB1Nc3c(cc(O)c(OC)c3Cl)N12,306.9824364008382,416.02185695804656,152.4697199997263
COc1cc2c(c(OC)c1C)NB1Nc3c(cc(OC)c(C)c3OC)N12,253.49747239984572,372.1352869570255,181.3211399998636
COc1cc2c(c(OC)c1Cl)NB1Nc3c(cc(OC)c(Cl)c3OC)N12,299.73491040151566,419.20139695703983,173.91626199987513
COc1cc2c(cc1OC)N1B(N2)Nc2cc(OC)c(OC)cc21,273.2337084002793,382.7790109566413,162.62737399965772
COc1ccc2c(c1O)NB1Nc3c(ccc(OC)c3O)N12,237.57338239997625,362.23329095728695,262.6359839998713
Cc1c(C#N)ccc2c1NB1Nc3c(ccc(C#N)c3C)N12,331.23678339924663,455.4212949569337,168.83243259990195
Cc1c(C(C)(C)C)cc2c(c1C)NB1Nc3c(cc(C(C)(C)C)c(C)c3C)N12,258.5178643995896,380.48482295684516,168.98585600015394
Cc1c(Cl)c(Br)cc2c1NB1Nc3c(cc(Br)c(Cl)c3C)N12,324.47661440074444,449.1794749572873,172.08331400070165
Cc1c(Cl)c(C#N)cc2c1NB1Nc3c(cc(C#N)c(Cl)c3C)N12,369.4986044000834,495.9704789565876,171.31620999989536
Cc1c(N(C)C)cc2c(c1N(C)C)NB1Nc3c(cc(N(C)C)c(C)c3N(C)C)N12,250.4269763994962,375.2090069572441,175.51258400021652
Cc1c(N)c(N(C)C)cc2c1NB1Nc3c(cc(N(C)C)c(N)c3C)N12,199.70643640030175,341.50065695727244,225.90833200033558
Cc1c(N)cc2c(c1N)NB1Nc3c(cc(N)c(C)c3N)N12,244.83025799971074,358.88476395700127,194.28869980004038
Cc1c([N+](=O)[O-])cc2c(c1C)NB1Nc3c(cc([N+](=O)[O-])c(C)c3C)N12,344.22795639932156,470.71223295712844,173.3639700004005
Cc1cc(Br)cc2c1NB1Nc3c(C)cc(Br)cc3N12,295.86538240127265,418.6112229600549,168.40436600086832
Cc1cc(Cl)c2c(c1)N1B(N2)Nc2c(Cl)cc(C)cc21,290.0440604016185,413.9235269576311,169.3441360000179
Cc1cc2c(c(Br)c1[N+](=O)[O-])NB1Nc3c(cc(C)c([N+](=O)[O-])c3Br)N12,361.1331043988466,488.91254495829344,172.64246999911848
Cc1cc2c(c(C(C)(C)C)c1[N+](=O)[O-])NB1Nc3c(cc(C)c([N+](=O)[O-])c3C(C)(C)C)N12,320.53959040064365,459.0597349572927,174.15689199951885
Cc1cc2c(c(N)c1C)NB1Nc3c(cc(C)c(C)c3N)N12,251.90717200003564,366.9002753570676,185.14340259985147
Cc1cc2c(cc1C#N)NB1Nc3cc(C#N)c(C)cc3N12,327.34926600009203,453.70324875740334,167.79798100001244
N#Cc1c(Br)cc2c(c1[N+](=O)[O-])NB1Nc3c(cc(Br)c(C#N)c3[N+](=O)[O-])N12,447.1363983973861,583.7776529565454,179.56923399906373
N#Cc1c(N)cc2c(c1Cl)NB1Nc3c(cc(N)c(C#N)c3Cl)N12,342.49802040029317,468.12546695768833,174.9750600000425
N#Cc1cc2c(c(Br)c1Br)NB1Nc3c(cc(C#N)c(Br)c3Br)N12,398.06623439490795,527.4252009578049,172.42524000030244
N#Cc1cc2c(cc1[N+](=O)[O-])N1B(N2)Nc2cc(C#N)c([N+](=O)[O-])cc21,420.5671804007143,549.7948469580151,173.3204979996117
Nc1c(Br)cc2c(c1Cl)NB1Nc3c(cc(Br)c(N)c3Cl)N12,316.4576424024999,441.76476895809174,170.68430599993007
Nc1c(Br)cc2c(c1[N+](=O)[O-])NB1Nc3c(cc(Br)c(N)c3[N+](=O)[O-])N12,361.25975039973855,494.22616495750844,181.3328400008686
Nc1ccc2c(c1Cl)NB1Nc3c(ccc(N)c3Cl)N12,280.0692384010181,404.06266295723617,169.68962400037526
Oc1c(Cl)ccc2c1NB1Nc3c(ccc(Cl)c3O)N12,277.24270039983094,399.7635629568249,204.53531799998927
Oc1cc2c(c(O)c1Br)NB1Nc3c(cc(O)c(Br)c3O)N12,268.1476924009621,402.8170029595494,223.26826599964988
c1ccc2c(c1)NB1Nc3ccccc3N12,246.432263,,167.299396
