SMILES,FIA,HIA,reorg_nrj
CC(C)(C)c1cc(Cl)c2c(c1)-c1cc(Cl)cc3c1B(O2)Oc1c(Cl)cc(C(C)(C)C)cc1-3,341.0144344000146,465.10790695715696,176.7054640000424
CC(C)(C)c1cc2c(c([N+](=O)[O-])c1)OB1Oc3c(cc(C(C)(C)C)cc3[N+](=O)[O-])-c3cc(C#N)cc-2c31,397.52301640063524,525.1691029574722,178.98558599954413
CC(C)(C)c1cc2c3c(c1)-c1cc(C#N)cc(C(C)(C)C)c1OB3Oc1c-2cc(C#N)cc1C(C)(C)C,399.68907640036196,523.038090956863,161.1628459995245
CC(C)(C)c1cc2c3c(c1)-c1cc(C(C)(C)C)cc(C(C)(C)C)c1OB3Oc1c-2cc(C(C)(C)C)cc1C(C)(C)C,314.68992840033025,434.1417509568855,175.4139140002735
CC(C)(C)c1cc2c3c(c1)-c1cc(O)cc(Br)c1OB3Oc1c(Br)cc(O)cc1-2,323.3096823953092,445.35854095593095,176.2553000005937
CN(C)c1cc(N)cc2c1OB1Oc3c(cc(N)cc3N(C)C)-c3cc(Br)cc-2c31,304.859692402184,422.2528869584203,188.23121199957313
CN(C)c1cc(O)c2c(c1)-c1cccc3c1B(O2)Oc1c(O)cc(N(C)C)cc1-3,343.8058463996276,465.2839009570889,158.79546799997115
CN(C)c1cc([N+](=O)[O-])cc2c1OB1Oc3c(cc([N+](=O)[O-])cc3N(C)C)-c3cccc-2c31,382.3855043994263,505.316672956571,178.94588400026805
CN(C)c1cc2c3c(c1)-c1cc(O)cc(C(C)(C)C)c1OB3Oc1c-2cc(O)cc1C(C)(C)C,300.4790303995833,418.1763729569502,182.5065319996611
CN(C)c1cc2c3c(c1)-c1cc([N+](=O)[O-])cc(O)c1OB3Oc1c(O)cc([N+](=O)[O-])cc1-2,393.77449239976704,519.1217369562946,193.6162800002421
COc1cc(C#N)c2c(c1)-c1cc(N(C)C)cc3c1B(O2)Oc1c(C#N)cc(OC)cc1-3,338.88035439979285,455.2395809562877,184.94340800025384
COc1cc(Cl)cc2c1OB1Oc3c(OC)cc(Cl)cc3-c3cc(N)cc-2c31,331.31609639991075,442.3955029565841,180.31262599997717
COc1cc2c(c(N(C)C)c1)OB1Oc3c(cc(OC)cc3N(C)C)-c3cc(Br)cc-2c31,297.9391943998635,432.4590829592198,190.61504799947215
COc1cc2c3c(c1)-c1cc(Br)cc(OC)c1OB3Oc1c(OC)cc(Br)cc1-2,324.5143663994968,441.64373895712197,177.93323600035365
COc1cc2c3c(c1)-c1cc(C(C)(C)C)cc(C#N)c1OB3Oc1c(C#N)cc(C(C)(C)C)cc1-2,344.1604603994638,476.04774495679885,194.1391400000157
