SMILES,FIA,HIA,reorg_nrj
B,252.37023748620413,453.9175340334041,113.89648916237505
BrB(Br)Br,436.4054099358618,609.9995180852711,170.92127074873954
C#CB(C#C)C#C,327.86426747520454,,144.36824297144508
C12=C(B(C3=CC=CC=C3C24)C5=C4C=CC=C5)C=CC=C1,457.7665320704691,631.2527032843791,89.73190412026047
CB(C)C,234.59593273303472,394.50820227561053,122.14451536900087
ClB(Cl)Cl,424.228786341846,591.8755851853639,184.33403234669248
FB(F)F,319.654798314441,428.915952129988,197.18479249825052
FC(F)(F)C(F)(F)B(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,560.6838557263836,769.7309069847688,117.23551525018001
FC(F)(F)C(OB(OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,429.8838249668479,554.5230664294213,224.35114500017838
Fc3c(F)c(F)c(B(c1c(F)c(F)c(F)c(F)c1F)c2c(F)c(F)c(F)c(F)c2F)c(F)c3F,443.766052255407,639.27786233183,
Fc3c(F)c(F)c(OB(Oc1c(F)c(F)c(F)c(F)c1F)Oc2c(F)c(F)c(F)c(F)c2F)c(F)c3F,422.87731011398137,552.1436806200072,264.0349766577507
Fc6c(F)c(F)c(N(B(N(c1c(F)c(F)c(F)c(F)c1F)c2c(F)c(F)c(F)c(F)c2F)N(c3c(F)c(F)c(F)c(F)c3F)c4c(F)c(F)c(F)c(F)c4F)c5c(F)c(F)c(F)c(F)c5F)c(F)c6F,353.8417514786124,,275.2015440675946
IB(I)I,469.80727106216364,672.9508021550137,149.09066086792316
NB(N)N,92.01414836081676,228.70980489021167,307.54553261859905
O=S(=O)(OB(OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)F)C(F)(F)F,555.9274470526725,695.8778967978433,276.9715250289405
OB(O)O,181.47256987844594,300.1968770767562,209.06625735829363
SB(S)S,327.7283164486289,506.0955839655362,166.84502415958843
c3ccc(B(c1ccccc1)c2ccccc2)cc3,316.6403407622129,486.81158430408686,181.22418774649583
