can,APT_charge,ES_root_Mulliken_charge,ES_root_NPA_Rydberg,ES_root_NPA_charge,ES_root_NPA_core,ES_root_NPA_total,ES_root_NPA_valence,Mulliken_charge,NMR_anisotropy,NMR_shift,NPA_Rydberg,NPA_charge,NPA_core,NPA_total,NPA_valence,VBur,X,Y,Z
CC(C)(C)c1cc(Cl)c2c(c1)-c1cc(Cl)cc3c1B(O2)Oc1c(Cl)cc(C(C)(C)C)cc1-3,1.464217,0.412217,0.02519,1.12426,1.99858,3.87574,1.85197,0.473124,18.1848,83.9348,0.02467,1.186,1.9986,3.814,1.79074,0.6231120201384519,0.000316,-1.190103,0.000248
CC(C)(C)c1cc(Cl)c2c(c1)-c1cc(Cl)cc3c1[BH-](O2)Oc1c(Cl)cc(C(C)(C)C)cc1-3,1.280731,0.357634,0.0213,0.69486,1.99868,4.30514,2.28517,0.399677,20.5288,108.7754,0.02051,0.71683,1.99871,4.28317,2.26396,0.625157331655129,0.000799,-1.270519,0.507948
CC(C)(C)c1cc(F)c2c(c1)-c1cc(N)cc3c1B(O2)Oc1c(F)cc(C(C)(C)C)cc1-3,1.463565,0.456547,0.0249,1.15054,1.99862,3.84946,1.82594,0.454925,19.7835,83.907,0.02506,1.17328,1.99858,3.82672,1.80308,0.6208307111390812,4e-06,-1.284361,0.008779
CC(C)(C)c1cc(F)c2c(c1)-c1cc(N)cc3c1[BH-](O2)Oc1c(F)cc(C(C)(C)C)cc1-3,1.271633,0.359216,0.02173,0.69214,1.9987,4.30786,2.28743,0.3992,19.546,108.8291,0.02067,0.71823,1.99873,4.28177,2.26237,0.6238200125865324,-0.001467,-1.393695,0.441587
CC(C)(C)c1cc2c(c([N+](=O)[O-])c1)OB1Oc3c(cc(C(C)(C)C)cc3[N+](=O)[O-])-c3cc(C#N)cc-2c31,1.516848,0.4847,0.02417,1.19042,1.99859,3.80958,1.78682,0.48788,19.5721,84.2597,0.02417,1.19169,1.99858,3.80831,1.78556,0.6301919446192574,-0.001661,-0.946118,-0.000749
CC(C)(C)c1cc2c(c([N+](=O)[O-])c1)O[BH-]1Oc3c(cc(C(C)(C)C)cc3[N+](=O)[O-])-c3cc(C#N)cc-2c31,1.322218,0.367508,0.02001,0.69494,1.99864,4.30506,2.28642,0.392826,18.5677,109.1495,0.02,0.70931,1.99866,4.29069,2.27203,0.6330239144115796,0.021655,-1.011754,-0.525472
CC(C)(C)c1cc2c3c(c1)-c1cc(C#N)cc(C(C)(C)C)c1OB3Oc1c-2cc(C#N)cc1C(C)(C)C,1.547621,0.399679,0.02485,1.11826,1.99854,3.88174,1.85835,0.459099,17.5968,83.8168,0.02457,1.18311,1.99855,3.81689,1.79377,0.6609502831969792,-0.006168,-0.822363,6e-06
CC(C)(C)c1cc2c3c(c1)-c1cc(C#N)cc(C(C)(C)C)c1O[BH-]3Oc1c-2cc(C#N)cc1C(C)(C)C,1.326945,0.35507,0.02063,0.68543,1.9987,4.31457,2.29524,0.39132,16.7069,109.0347,0.01966,0.70961,1.99872,4.29039,2.272,0.6666142227816236,0.017209,-0.909058,0.659266
CC(C)(C)c1cc2c3c(c1)-c1cc(C(C)(C)C)cc(C(C)(C)C)c1OB3Oc1c-2cc(C(C)(C)C)cc1C(C)(C)C,1.493737,0.384991,0.0253,1.1084,1.99857,3.8916,1.86773,0.455959,16.6115,83.953,0.02477,1.17889,1.99859,3.82111,1.79775,0.6637822529893015,-0.009575,-1.004144,0.00027
CC(C)(C)c1cc2c3c(c1)-c1cc(C(C)(C)C)cc(C(C)(C)C)c1O[BH-]3Oc1c-2cc(C(C)(C)C)cc1C(C)(C)C,1.286967,0.359803,0.02081,0.69083,1.99872,4.30917,2.28963,0.401382,19.3482,109.3158,0.02027,0.71513,1.99874,4.28487,2.26586,0.6701541850220264,-0.011056,-1.109786,0.497019
