can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,charge,converged,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,multiplicity,number_of_atoms,zero_point_correction
CC(C)(C)c1cc(Cl)c2c(c1)-c1cc(Cl)cc3c1B(O2)Oc1c(Cl)cc(C(C)(C)C)cc1-3,-2560.229829,2.7786,21679.1165,2243.265,-2560.53592347,0.475437,-2560.25879,-2560.318252,0.387014,-2560.228885,0.476381,0.0,1.0,3.9533,0.15338000000000002,20702.168,0.11917000000000001,-0.27255,-0.03421,485.6434,3711.584,1.0,56.0,0.446477
CC(C)(C)c1cc(Cl)c2c(c1)-c1cc(Cl)cc3c1[BH-](O2)Oc1c(Cl)cc(C(C)(C)C)cc1-3,-2560.855472,2.7699,21812.3701,3731.914,-2561.21470449,0.483037,-2560.884855,-2560.945062,0.393447,-2560.854528,0.483982,,1.0,4.192,0.018489999999999993,20445.7599,0.10997,-0.12846,0.09148,486.6513,4160.87,1.0,57.0,0.453655
CC(C)(C)c1cc(F)c2c(c1)-c1cc(N)cc3c1B(O2)Oc1c(F)cc(C(C)(C)C)cc1-3,-1435.233614,8.1449,19320.7984,3344.88,-1435.56190647,0.50438,-1435.26199,-1435.319218,0.418776,-1435.23267,0.505324,0.0,1.0,6.1931,0.13793,18253.2674,0.12078,-0.25871,-0.01715,433.3037,3986.826,1.0,58.0,0.476004
CC(C)(C)c1cc(F)c2c(c1)-c1cc(N)cc3c1[BH-](O2)Oc1c(F)cc(C(C)(C)C)cc1-3,-1435.841621,5.2202,19366.6517,3307.713,-1436.1969822,0.511712,-1435.870461,-1435.928549,0.424784,-1435.840677,0.512656,,1.0,6.4879,-2.4999999999997247e-05,18251.8208,0.109915,-0.10989,0.10994,434.3116,3135.436,1.0,59.0,0.482872
CC(C)(C)c1cc2c(c([N+](=O)[O-])c1)OB1Oc3c(cc(C(C)(C)C)cc3[N+](=O)[O-])-c3cc(C#N)cc-2c31,-1682.532018,5.0674,23015.7716,3848.376,-1682.7838546,0.51216,-1682.564325,-1682.628223,0.415955,-1682.531073,0.513104,0.0,1.0,8.3086,0.176345,22030.7644,0.117125,-0.29347,-0.05922,497.3131,4038.89,1.0,61.0,0.479853
CC(C)(C)c1cc2c(c([N+](=O)[O-])c1)O[BH-]1Oc3c(cc(C(C)(C)C)cc3[N+](=O)[O-])-c3cc(C#N)cc-2c31,-1683.180761,7.6965,23186.8809,4101.7,-1683.46395084,0.52004,-1683.213385,-1683.278076,0.422724,-1683.179816,0.520984,,1.0,7.0002,0.047670000000000004,20742.844,0.10592,-0.15359,0.05825,498.321,4515.633,1.0,62.0,0.487415
CC(C)(C)c1cc2c3c(c1)-c1cc(C#N)cc(C(C)(C)C)c1OB3Oc1c-2cc(C#N)cc1C(C)(C)C,-1522.979261,2.4354,20852.0833,4307.176,-1523.42308575,0.621791,-1523.013533,-1523.078297,0.522755,-1522.978317,0.622735,0.0,1.0,2.7442,0.15809,20669.0093,0.1205,-0.27859,-0.03759,488.4349,4153.349,1.0,70.0,0.587519
CC(C)(C)c1cc2c3c(c1)-c1cc(C#N)cc(C(C)(C)C)c1O[BH-]3Oc1c-2cc(C#N)cc1C(C)(C)C,-1523.627184,3.9351,20675.9533,4365.591,-1524.08912312,0.629357,-1523.661658,-1523.725976,0.530566,-1523.62624,0.630301,,1.0,1.3706,0.02939,20153.7129,0.11593,-0.14532,0.08654,489.4428,4326.612,1.0,71.0,0.594884
CC(C)(C)c1cc2c3c(c1)-c1cc(C(C)(C)C)cc(C(C)(C)C)c1OB3Oc1c-2cc(C(C)(C)C)cc1C(C)(C)C,-1652.668751,1.407,27787.3216,4595.315,-1653.28489381,0.860042,-1652.710328,-1652.781678,0.747115,-1652.667807,0.860986,0.0,1.0,2.1006,0.13055,25503.4468,0.11935000000000001,-0.2499,-0.0112,550.6297,5268.766,1.0,92.0,0.818465
CC(C)(C)c1cc2c3c(c1)-c1cc(C(C)(C)C)cc(C(C)(C)C)c1O[BH-]3Oc1c-2cc(C(C)(C)C)cc1C(C)(C)C,-1653.282483,0.8515,27762.6809,5001.084,-1653.91767682,0.866796,-1653.324332,-1653.396213,0.753066,-1653.281539,0.86774,,1.0,3.4931,0.003595000000000001,26439.0016,0.113535,-0.11713,0.10994,551.6376,5571.383,1.0,93.0,0.824947
CC(C)(C)c1cc2c3c(c1)-c1cc(C(F)(F)F)cc(C#N)c1OB3Oc1c(C#N)cc(C(F)(F)F)cc1-2,-1882.72341,10.0873,22403.1818,3898.138,-1883.08311418,0.399839,-1882.754119,-1882.818376,0.304873,-1882.722465,0.400783,0.0,1.0,9.4633,0.178895,22345.235,0.119135,-0.29803,-0.05976,512.2171,3456.84,1.0,52.0,0.369129
CC(C)(C)c1cc2c3c(c1)-c1cc(C(F)(F)F)cc(C#N)c1O[BH-]3Oc1c(C#N)cc(C(F)(F)F)cc1-2,-1883.3754,11.5694,22520.9885,3961.771,-1883.63562417,0.407727,-1883.406438,-1883.47105,0.312077,-1883.374456,0.408671,,1.0,12.3425,0.047755,20980.6787,0.11071500000000001,-0.15847,0.06296,513.225,3591.512,1.0,53.0,0.376689
CC(C)(C)c1cc2c3c(c1)-c1cc(C(F)(F)F)cc(F)c1OB3Oc1c(F)cc(C(F)(F)F)cc1-2,-1896.718097,3.4953,21068.4566,3380.126,-1896.95826981,0.384302,-1896.746868,-1896.809474,0.292924,-1896.717153,0.385246,0.0,1.0,3.9715,0.16129000000000002,20547.535,0.12226000000000001,-0.28355,-0.03903,498.1785,3175.27,1.0,50.0,0.355531
CC(C)(C)c1cc2c3c(c1)-c1cc(C(F)(F)F)cc(F)c1O[BH-]3Oc1c(F)cc(C(F)(F)F)cc1-2,-1897.35156,4.2727,21165.6722,3116.692,-1897.58896981,0.391937,-1897.380626,-1897.442233,0.301265,-1897.350616,0.392881,,1.0,6.997,0.023285000000000007,19198.6171,0.11435500000000001,-0.13764,0.09107,499.1864,3760.357,1.0,51.0,0.362872
CC(C)(C)c1cc2c3c(c1)-c1cc(Cl)cc(C(F)(F)F)c1OB3Oc1c-2cc(Cl)cc1C(F)(F)F,-2617.451445,5.9904,20769.9657,3397.972,-2617.64934757,0.381958,-2617.480807,-2617.541957,0.291445,-2617.450501,0.382902,0.0,1.0,5.3222,0.16301,20666.1281,0.11848999999999998,-0.2815,-0.04452,531.0877,3320.745,1.0,50.0,0.352596
CC(C)(C)c1cc2c3c(c1)-c1cc(Cl)cc(C(F)(F)F)c1O[BH-]3Oc1c-2cc(Cl)cc1C(F)(F)F,-2618.088174,3.9103,20928.1895,3809.772,-2618.30079084,0.389657,-2618.117967,-2618.179966,0.297865,-2618.08723,0.390601,,1.0,5.89,0.030129999999999997,20294.2265,0.11055000000000001,-0.14068,0.08042,532.0956,3208.229,1.0,51.0,0.359864
